symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
NIFTYBEES,INF204KB14I2,2024-12-05,BSE,EQ,B,buy,false,9.000000,272.780000,2719900,1733373779721336142,2024-12-05T10:46:29
NIFTYBEES,INF204KB14I2,2024-12-05,BSE,EQ,B,buy,false,1.000000,272.780000,2711700,1733373779721336142,2024-12-05T10:46:29
HDFCSML250,INF179KC1FB2,2024-12-05,BSE,EQ,B,buy,false,10.000000,182.750000,2730300,1733373779721399935,2024-12-05T10:47:38
GOLDBEES,INF204KB17I5,2024-12-05,NSE,EQ,EQ,buy,false,20.000000,64.060000,203477624,1100000020468820,2024-12-05T10:48:15
MON100,INF247L01AP3,2024-12-06,NSE,EQ,EQ,buy,false,10.000000,180.750000,408761617,1200000060290578,2024-12-06T15:13:27
NESTLEIND,INE239A01024,2024-12-09,NSE,EQ,EQ,buy,false,1.000000,2215.750000,403462884,1200000020722092,2024-12-09T10:41:48
HINDUNILVR,INE030A01027,2024-12-09,NSE,EQ,EQ,buy,false,1.000000,2388.200000,203674306,1100000021143024,2024-12-09T10:43:13
MOM30IETF,INF109KC17C7,2024-12-09,BSE,EQ,B,buy,false,20.000000,36.000000,2256100,1733719860546321802,2024-12-09T10:44:23
GOLDBEES-E,INF204KB17I5,2024-12-09,BSE,EQ,E,buy,false,5.000000,63.960000,987500,1733715900019020823,2024-12-09T10:44:55
TATACONSUM,INE192A01025,2024-12-09,NSE,EQ,EQ,buy,false,1.000000,938.350000,603406010,1300000018456363,2024-12-09T10:45:16
HDFCSML250,INF179KC1FB2,2024-12-12,BSE,EQ,B,buy,false,1.000000,184.580000,3506700,1733986345964741436,2024-12-12T13:31:16
HDFCSML250,INF179KC1FB2,2024-12-12,BSE,EQ,B,buy,false,24.000000,184.580000,3506900,1733986345964741436,2024-12-12T13:31:16
HINDUNILVR,INE030A01027,2024-12-12,NSE,EQ,EQ,buy,false,3.000000,2339.200000,205696796,1100000035626031,2024-12-12T13:33:14
HDFCSML250,INF179KC1FB2,2024-12-12,NSE,EQ,EQ,buy,false,15.000000,184.510000,205723330,1100000035797641,2024-12-12T13:34:50
NIFTYBEES,INF204KB14I2,2024-12-12,BSE,EQ,B,buy,false,1.000000,274.230000,3543800,1733986345964738451,2024-12-12T13:35:32
NIFTYBEES,INF204KB14I2,2024-12-12,BSE,EQ,B,buy,false,1.000000,274.200000,3543600,1733986345964738451,2024-12-12T13:35:32
MIDCAPETF,INF769K01IC9,2024-12-18,NSE,EQ,EQ,buy,false,99.000000,22.000000,403276743,1200000024440261,2024-12-18T10:52:30
MIDCAPETF,INF769K01IC9,2024-12-18,NSE,EQ,EQ,buy,false,1.000000,22.000000,403276742,1200000024440261,2024-12-18T10:52:30
MON100-E,INF247L01AP3,2024-12-18,BSE,EQ,E,buy,false,10.000000,212.600000,438100,1734493500025040383,2024-12-18T10:53:16
NIFTYBEES,INF204KB14I2,2024-12-18,BSE,EQ,B,buy,false,20.000000,271.350000,3661300,1734497332833356454,2024-12-18T10:53:30
HDFCSML250,INF179KC1FB2,2024-12-18,BSE,EQ,B,buy,false,6.000000,182.720000,3678700,1734497332833393363,2024-12-18T10:54:21
HDFCSML250,INF179KC1FB2,2024-12-18,BSE,EQ,B,buy,false,1.000000,182.720000,3878000,1734497332833393387,2024-12-18T10:54:48
HDFCSML250,INF179KC1FB2,2024-12-18,NSE,EQ,EQ,buy,false,10.000000,182.420000,206247591,1100000047181836,2024-12-18T14:07:18
NIFTYBEES,INF204KB14I2,2024-12-18,NSE,EQ,EQ,buy,false,30.000000,270.800000,406987381,1200000055343454,2024-12-18T14:07:43
NIFTYBEES,INF204KB14I2,2024-12-19,BSE,EQ,B,buy,false,10.000000,267.900000,7434100,1734582000385895436,2024-12-19T10:56:04
NIFTYBEES,INF204KB14I2,2024-12-19,BSE,EQ,B,buy,false,15.000000,267.900000,7473400,1734582000385900672,2024-12-19T10:58:52
NIFTYBEES,INF204KB14I2,2024-12-20,NSE,EQ,EQ,buy,false,10.000000,266.000000,405255640,1200000027048237,2024-12-20T10:50:37
NIFTYBEES,INF204KB14I2,2024-12-20,NSE,EQ,EQ,buy,false,10.000000,265.250000,406926884,1200000061938017,2024-12-20T14:06:33
CAMS,INE596I01012,2024-12-23,NSE,EQ,EQ,sell,false,4.000000,4955.350000,2982404,1000000026563701,2024-12-23T11:25:37
RELIANCE,INE002A01018,2024-12-24,NSE,EQ,EQ,buy,false,1.000000,1230.900000,602572259,1300000018687541,2024-12-24T10:50:43
NIFTYBEES,INF204KB14I2,2024-12-24,BSE,EQ,B,buy,false,20.000000,266.320000,301969300,1735011900011708734,2024-12-24T10:51:36
HDFCSML250,INF179KC1FB2,2024-12-24,NSE,EQ,EQ,buy,false,15.000000,177.850000,202751673,1100000020425851,2024-12-24T10:52:08
HDFCSML250,INF179KC1FB2,2024-12-24,NSE,EQ,EQ,buy,false,10.000000,177.850000,202742658,1100000020425851,2024-12-24T10:52:08
